"Date","Price","Open","High","Low","Change %"
"Dec 18, 2017","359.400","324.740","366.880","306.260","10.67"
"Dec 17, 2017","324.740","306.870","334.670","304.110","5.83"
"Dec 16, 2017","306.860","303.790","314.960","280.040","1.01"
"Dec 15, 2017","303.790","283.800","322.100","252.410","7.04"
"Dec 14, 2017","283.800","312.980","324.000","256.490","-9.30"
"Dec 13, 2017","312.890","352.000","372.350","275.000","-11.19"
"Dec 12, 2017","352.300","218.620","417.000","213.820","60.83"
"Dec 11, 2017","219.050","150.990","234.450","150.120","44.86"
"Dec 10, 2017","151.210","160.940","160.940","135.470","-6.05"
"Dec 09, 2017","160.950","128.970","198.400","128.970","24.99"
"Dec 08, 2017","128.770","97.960","142.240","95.830","31.47"
"Dec 07, 2017","97.950","100.000","102.480","95.010","-2.07"
"Dec 06, 2017","100.020","101.010","103.900","97.790","-0.98"
"Dec 05, 2017","101.010","104.280","104.280","101.010","-3.15"
"Dec 04, 2017","104.290","101.200","104.500","95.750","3.04"
"Dec 03, 2017","101.210","99.660","107.480","97.150","1.57"
"Dec 02, 2017","99.650","100.170","104.720","98.110","-0.52"
"Dec 01, 2017","100.170","85.860","100.770","82.050","16.72"
"Nov 30, 2017","85.820","86.710","93.420","78.000","-1.03"
"Nov 29, 2017","86.710","94.490","103.490","76.010","-8.23"
"Nov 28, 2017","94.490","91.360","94.860","89.960","3.43"
"Nov 27, 2017","91.360","86.620","93.850","86.400","5.48"
"Nov 26, 2017","86.610","89.130","89.210","84.180","-2.93"
"Nov 25, 2017","89.220","77.540","89.880","77.280","15.06"
"Nov 24, 2017","77.540","73.220","77.640","72.620","5.70"
"Nov 23, 2017","73.360","72.310","77.940","71.080","1.52"
"Nov 22, 2017","72.260","70.000","72.310","70.000","3.24"
"Nov 21, 2017","69.990","72.620","73.000","68.000","-3.63"
"Nov 20, 2017","72.630","71.700","73.250","71.160","1.30"
"Nov 19, 2017","71.700","69.350","73.350","68.550","3.39"
"Nov 18, 2017","69.350","67.510","69.880","65.620","2.74"
"Nov 17, 2017","67.500","70.560","71.300","65.520","-4.32"
"Nov 16, 2017","70.550","63.300","72.300","62.520","11.45"
"Nov 15, 2017","63.300","62.290","65.430","62.240","1.64"
"Nov 14, 2017","62.280","61.240","63.570","60.560","1.85"
"Nov 13, 2017","61.150","58.820","62.380","58.230","3.98"
"Nov 12, 2017","58.810","62.490","62.600","57.120","-5.90"
"Nov 11, 2017","62.500","59.300","63.980","59.030","5.36"
"Nov 10, 2017","59.320","64.610","65.910","56.140","-7.89"
"Nov 09, 2017","64.400","62.430","67.150","61.900","3.11"
"Nov 08, 2017","62.460","60.830","64.260","59.660","3.05"
"Nov 07, 2017","60.610","54.600","63.700","54.600","10.97"
"Nov 06, 2017","54.620","54.670","55.830","53.400","-0.09"
"Nov 05, 2017","54.670","55.120","55.510","54.410","-0.76"
"Nov 04, 2017","55.090","56.190","56.300","54.650","-1.96"
"Nov 03, 2017","56.190","54.360","56.340","53.970","3.39"
"Nov 02, 2017","54.350","53.090","54.850","50.290","2.57"
"Nov 01, 2017","52.990","55.410","55.570","52.820","-4.35"
"Oct 31, 2017","55.400","56.440","56.810","55.400","-1.42"
"Oct 30, 2017","56.200","56.590","58.390","55.870","-0.71"
"Oct 29, 2017","56.600","54.520","57.890","54.260","3.82"
"Oct 28, 2017","54.520","55.250","55.850","54.120","-1.30"
"Oct 27, 2017","55.240","55.540","56.140","54.750","-0.58"
"Oct 26, 2017","55.560","56.360","57.120","54.950","-1.44"
"Oct 25, 2017","56.370","55.610","56.620","53.620","1.37"
"Oct 24, 2017","55.610","54.790","59.190","52.510","1.52"
"Oct 23, 2017","54.780","56.750","56.750","52.470","-3.45"
"Oct 22, 2017","56.740","58.140","58.890","56.120","-2.41"
"Oct 21, 2017","58.140","60.120","60.370","56.200","-3.31"
"Oct 20, 2017","60.130","59.820","62.200","58.530","0.48"
"Oct 19, 2017","59.840","60.680","61.360","58.340","-1.37"
"Oct 18, 2017","60.670","59.190","61.830","52.900","2.50"
"Oct 17, 2017","59.190","64.720","64.960","58.510","-8.54"
"Oct 16, 2017","64.720","65.520","66.400","62.340","-1.21"
"Oct 15, 2017","65.510","63.890","69.570","62.110","2.46"
"Oct 14, 2017","63.940","58.900","66.750","58.370","8.56"
"Oct 13, 2017","58.900","59.680","60.880","55.250","-1.01"
"Oct 12, 2017","59.500","50.810","59.500","50.670","17.10"
"Oct 11, 2017","50.810","50.410","51.000","50.220","0.79"
"Oct 10, 2017","50.410","50.040","51.480","49.610","0.74"
"Oct 09, 2017","50.040","53.270","53.410","48.160","-6.05"
"Oct 08, 2017","53.260","52.580","54.770","52.400","1.31"
"Oct 07, 2017","52.570","52.120","52.840","51.610","0.86"
"Oct 06, 2017","52.120","51.650","52.730","51.400","0.87"
"Oct 05, 2017","51.670","51.160","51.940","50.250","1.00"
"Oct 04, 2017","51.160","52.150","53.000","50.540","-1.88"
"Oct 03, 2017","52.140","53.370","53.590","51.360","-2.30"
"Oct 02, 2017","53.370","54.700","55.050","52.860","-2.43"
"Oct 01, 2017","54.700","55.260","55.300","53.500","-1.01"
"Sep 30, 2017","55.260","52.620","55.920","52.550","5.02"
"Sep 29, 2017","52.620","54.870","54.870","50.350","-4.10"
"Sep 28, 2017","54.870","56.880","57.110","54.070","-3.53"
"Sep 27, 2017","56.880","52.340","57.450","52.320","8.69"
"Sep 26, 2017","52.330","52.220","54.250","51.500","0.21"
"Sep 25, 2017","52.220","47.710","53.250","47.540","9.48"
"Sep 24, 2017","47.700","49.400","49.510","47.150","-3.46"
"Sep 23, 2017","49.410","47.810","50.100","46.480","3.32"
"Sep 22, 2017","47.820","46.640","49.660","45.000","2.60"
"Sep 21, 2017","46.610","51.580","52.480","45.250","-9.65"
"Sep 20, 2017","51.590","52.900","54.530","51.110","-2.61"
"Sep 19, 2017","52.970","56.300","56.860","51.390","-5.90"
"Sep 18, 2017","56.290","51.370","58.000","51.370","9.58"
"Sep 17, 2017","51.370","52.470","54.020","47.870","-2.12"
"Sep 16, 2017","52.480","52.290","58.730","50.670","0.36"
"Sep 15, 2017","52.290","45.410","62.410","33.560","15.15"
"Sep 14, 2017","45.410","61.810","62.600","45.100","-26.52"
"Sep 13, 2017","61.800","66.000","66.460","57.780","-6.36"
"Sep 12, 2017","66.000","68.280","71.930","65.030","-3.34"
"Sep 11, 2017","68.280","67.440","71.500","65.530","1.25"
"Sep 10, 2017","67.440","71.270","71.440","65.020","-5.37"
"Sep 09, 2017","71.270","73.700","74.500","69.100","-3.30"
"Sep 08, 2017","73.700","80.230","82.110","68.120","-8.14"
"Sep 07, 2017","80.230","81.470","82.740","77.460","-1.52"
"Sep 06, 2017","81.470","74.190","82.610","74.190","9.81"
"Sep 05, 2017","74.190","71.290","74.940","66.010","4.10"
"Sep 04, 2017","71.270","79.450","79.490","64.200","-10.34"
"Sep 03, 2017","79.490","79.830","84.530","77.330","-0.44"
"Sep 02, 2017","79.840","89.150","93.820","73.880","-9.90"
"Sep 01, 2017","88.610","73.230","98.010","71.590","21.00"
"Aug 31, 2017","73.230","66.330","74.740","65.220","10.94"
"Aug 30, 2017","66.010","63.690","67.490","62.000","3.55"
"Aug 29, 2017","63.750","62.330","64.450","61.250","1.97"
"Aug 28, 2017","62.520","61.560","64.730","58.940","1.54"
"Aug 27, 2017","61.570","51.550","64.670","51.510","19.44"
"Aug 26, 2017","51.550","51.110","52.000","50.000","0.86"
"Aug 25, 2017","51.110","51.090","52.200","50.100","0.04"
"Aug 24, 2017","51.090","53.310","53.450","50.230","-4.13"
"Aug 23, 2017","53.290","46.440","54.960","46.080","14.77"
"Aug 22, 2017","46.430","47.990","47.990","44.650","-3.25"
"Aug 21, 2017","47.990","45.570","48.870","44.900","5.31"
"Aug 20, 2017","45.570","45.180","47.150","44.070","0.84"
"Aug 19, 2017","45.190","46.690","46.990","43.760","-3.21"
"Aug 18, 2017","46.690","43.880","47.990","43.290","6.40"
"Aug 17, 2017","43.880","43.800","44.700","43.130","0.18"
"Aug 16, 2017","43.800","43.080","44.880","42.010","1.62"
"Aug 15, 2017","43.100","45.590","45.700","41.670","-5.44"
"Aug 14, 2017","45.580","45.220","46.340","44.840","0.80"
"Aug 13, 2017","45.220","46.330","47.330","44.080","-2.27"
"Aug 12, 2017","46.270","47.060","47.800","46.010","-1.74"
"Aug 11, 2017","47.090","47.210","47.710","46.600","-0.23"
"Aug 10, 2017","47.200","47.690","48.600","47.100","-1.03"
"Aug 09, 2017","47.690","49.130","49.950","46.660","-2.79"
"Aug 08, 2017","49.060","45.990","49.980","45.770","6.68"
"Aug 07, 2017","45.990","45.330","46.500","45.020","1.46"
"Aug 06, 2017","45.330","45.850","46.650","44.790","-1.13"
"Aug 05, 2017","45.850","43.070","47.090","43.060","6.45"
"Aug 04, 2017","43.070","42.490","43.480","42.340","1.37"
"Aug 03, 2017","42.490","41.820","42.870","41.780","1.60"
"Aug 02, 2017","41.820","43.180","43.230","41.520","-3.15"
"Aug 01, 2017","43.180","42.230","43.840","41.180","2.20"
"Jul 31, 2017","42.250","40.010","43.500","38.400","5.60"
"Jul 30, 2017","40.010","38.760","42.000","38.730","2.91"
"Jul 29, 2017","38.880","40.800","40.980","38.420","-4.71"
"Jul 28, 2017","40.800","41.490","42.160","40.320","-1.66"
"Jul 27, 2017","41.490","41.990","42.300","40.810","-1.19"
"Jul 26, 2017","41.990","42.210","42.980","40.420","-0.52"
"Jul 25, 2017","42.210","45.010","45.140","40.320","-6.20"
"Jul 24, 2017","45.000","45.250","45.450","44.430","-0.55"
"Jul 23, 2017","45.250","46.680","46.940","44.100","-3.06"
"Jul 22, 2017","46.680","45.420","47.480","45.000","2.75"
"Jul 21, 2017","45.430","44.690","47.890","44.070","1.66"
"Jul 20, 2017","44.690","40.230","44.990","40.190","11.09"
"Jul 19, 2017","40.230","43.500","43.950","39.700","-7.50"
"Jul 18, 2017","43.490","42.360","44.980","40.630","2.67"
"Jul 17, 2017","42.360","40.610","43.070","39.790","4.31"
"Jul 16, 2017","40.610","38.140","41.720","34.790","6.39"
"Jul 15, 2017","38.170","42.720","42.760","37.510","-10.65"
"Jul 14, 2017","42.720","45.480","45.700","40.060","-6.07"
"Jul 13, 2017","45.480","46.980","47.700","44.100","-3.19"
"Jul 12, 2017","46.980","43.860","48.410","42.200","7.11"
"Jul 11, 2017","43.860","44.980","46.750","41.490","-2.49"
"Jul 10, 2017","44.980","48.740","49.720","42.200","-7.71"
"Jul 09, 2017","48.740","51.270","52.310","48.380","-4.93"
"Jul 08, 2017","51.270","46.190","52.220","44.280","11.00"
"Jul 07, 2017","46.190","51.140","51.240","44.570","-9.68"
"Jul 06, 2017","51.140","53.390","53.390","50.010","-4.23"
"Jul 05, 2017","53.400","55.090","56.170","49.160","-3.09"
"Jul 04, 2017","55.100","45.600","55.320","45.570","20.81"
"Jul 03, 2017","45.610","41.590","47.610","40.630","9.69"
"Jul 02, 2017","41.580","38.370","41.990","37.160","8.42"
"Jul 01, 2017","38.350","39.510","39.760","37.400","-2.94"
"Jun 30, 2017","39.510","40.200","41.190","39.250","-1.74"
"Jun 29, 2017","40.210","42.000","42.000","39.750","-4.26"
"Jun 28, 2017","42.000","40.430","43.380","37.970","3.88"
"Jun 27, 2017","40.430","38.250","40.430","33.710","5.56"
"Jun 26, 2017","38.300","40.870","41.960","33.780","-6.04"
"Jun 25, 2017","40.760","43.140","43.640","38.570","-5.45"
"Jun 24, 2017","43.110","46.030","46.130","42.080","-6.34"
"Jun 23, 2017","46.030","46.010","46.910","45.520","0.09"
"Jun 22, 2017","45.990","44.000","47.820","42.870","4.52"
"Jun 21, 2017","44.000","45.620","46.120","41.710","-3.55"
"Jun 20, 2017","45.620","47.630","48.360","43.010","-4.22"
"Jun 19, 2017","47.630","43.660","49.970","42.360","9.54"
"Jun 18, 2017","43.480","46.020","46.260","39.590","-5.52"
"Jun 17, 2017","46.020","33.890","48.580","33.890","36.03"
"Jun 16, 2017","33.830","28.990","33.850","27.700","16.74"
"Jun 15, 2017","28.980","28.820","29.390","24.450","0.56"
"Jun 14, 2017","28.820","30.320","31.980","27.670","-4.95"
"Jun 13, 2017","30.320","28.910","30.620","28.710","4.88"
"Jun 12, 2017","28.910","34.020","34.040","27.000","-14.82"
"Jun 11, 2017","33.940","30.160","35.320","29.530","12.61"
"Jun 10, 2017","30.140","29.550","30.150","29.240","1.96"
"Jun 09, 2017","29.560","30.080","30.900","29.540","-1.73"
"Jun 08, 2017","30.080","28.710","30.790","28.030","4.77"
"Jun 07, 2017","28.710","30.160","30.790","27.850","-4.81"
"Jun 06, 2017","30.160","30.700","31.290","28.280","-1.76"
"Jun 05, 2017","30.700","27.790","31.800","27.780","10.71"
"Jun 04, 2017","27.730","27.400","27.900","26.800","1.20"
"Jun 03, 2017","27.400","27.840","28.300","26.800","-1.58"
"Jun 02, 2017","27.840","27.720","28.950","26.700","0.94"
"Jun 01, 2017","27.580","25.880","29.930","25.880","6.57"
"May 31, 2017","25.880","24.100","26.150","23.800","7.39"
"May 30, 2017","24.100","25.780","26.500","23.710","-6.52"
"May 29, 2017","25.780","24.790","26.710","23.740","4.04"
"May 28, 2017","24.780","23.450","26.800","23.120","5.67"
"May 27, 2017","23.450","25.900","26.940","19.150","-9.46"
"May 26, 2017","25.900","29.530","32.000","24.380","-12.29"
"May 25, 2017","29.530","34.280","35.410","26.480","-4.93"
"May 24, 2017","31.060","34.310","35.880","30.250","25.70"
"May 23, 2017","24.710","31.060","31.780","24.450","-4.67"
"May 22, 2017","25.920","24.710","26.990","22.500","-5.19"
"May 21, 2017","27.340","25.920","28.680","25.440","-0.76"
"May 20, 2017","27.550","27.340","27.940","26.850","-3.60"
"May 19, 2017","28.580","27.550","28.650","26.320","12.96"
"May 18, 2017","25.300","28.580","29.410","24.630","7.20"
"May 17, 2017","23.600","25.300","26.500","20.310","-7.85"
"May 16, 2017","25.610","23.600","25.780","21.000","-11.38"
"May 15, 2017","28.900","25.610","29.110","25.270","-0.65"
"May 14, 2017","29.090","28.900","30.600","27.750","6.91"
"May 13, 2017","27.210","29.090","29.210","25.040","-11.34"
"May 12, 2017","30.690","27.210","31.590","25.060","-6.58"
"May 11, 2017","32.850","30.690","33.350","28.310","-1.05"
"May 10, 2017","33.200","32.850","38.910","30.010","15.04"
"May 09, 2017","28.860","33.200","34.000","22.670","-5.75"
"May 08, 2017","30.620","28.860","30.620","28.040","7.70"
"May 07, 2017","28.430","30.620","32.300","28.430","7.98"
"May 06, 2017","26.330","28.430","28.880","26.310","8.98"
"May 05, 2017","24.160","26.330","28.690","24.030","9.77"
"May 04, 2017","22.010","24.160","29.750","21.800","35.53"
"May 03, 2017","16.240","22.010","36.000","15.990","-1.40"
"May 02, 2017","16.470","16.240","16.620","15.500","1.67"
"May 01, 2017","16.200","16.470","17.300","15.550","-0.86"
"Apr 30, 2017","16.340","16.200","16.740","15.800","10.78"
